LSOA Code,nc_atmn_2021,nc_sprng_2021,nc_smmr_2021,nc_wntr_2021,nc_wntr_2022
E01003172,56.29,6.81,78.32,98.34,15.58
E01003173,49.22,5.96,68.49,85.99,13.62
E01003174,54.34,6.58,75.61,94.93,15.04
E01003175,45.43,5.5,63.22,79.37,12.58
E01003176,57.86,7.0,80.5,101.08,16.02
E01003177,51.14,6.19,71.16,89.35,14.16
E01003178,49.07,5.94,68.28,85.73,13.58
E01003179,47.74,5.78,66.43,83.41,13.22
E01003180,50.67,6.13,70.5,88.52,14.03
E01003181,40.79,4.94,56.76,71.26,11.29
E01003182,56.73,6.87,78.94,99.11,15.7
E01003183,50.91,6.16,70.83,88.93,14.09
E01003184,36.12,4.37,50.25,63.1,10.0
E01003185,47.03,5.69,65.44,82.16,13.02
E01003186,83.44,10.1,116.11,145.78,23.1
E01003187,54.66,6.62,76.06,95.5,15.13
E01003188,35.94,4.35,50.01,62.79,9.95
E01003189,48.61,4.05,54.62,88.02,13.38
E01003190,69.51,5.79,78.11,125.86,19.13
E01003191,46.95,3.91,52.75,85.0,12.92
E01003192,50.02,4.17,56.2,90.57,13.76
E01003193,49.04,4.08,55.11,88.8,13.49
E01003194,53.93,4.49,60.6,97.65,14.84
E01003195,45.88,3.82,51.55,83.08,12.62
E01003196,52.69,4.39,59.21,95.41,14.5
E01003197,46.97,3.91,52.78,85.05,12.92
E01003198,42.69,3.56,47.97,77.3,11.75
E01003199,55.2,4.6,62.02,99.94,15.19
E01003200,48.41,4.03,54.4,87.66,13.32
E01003201,50.65,4.22,56.92,91.72,13.94
E01003202,45.48,3.79,51.1,82.35,12.51
E01003203,59.68,4.97,67.06,108.06,16.42
E01003204,49.56,4.13,55.69,89.74,13.64
E01003205,40.45,3.37,45.45,73.24,11.13
E01003206,48.07,4.0,54.01,87.03,13.23
E01003207,50.83,4.23,57.11,92.03,13.98
E01003209,60.11,5.01,67.54,108.84,16.54
E01003210,57.5,4.79,64.6,104.1,15.82
E01003211,44.07,3.67,49.52,79.8,12.13
E01003212,60.34,5.03,67.8,109.26,16.6
E01003213,59.57,4.96,66.93,107.85,16.39
E01003214,54.25,4.52,60.95,98.22,14.93
E01003215,61.52,5.12,69.13,111.39,16.93
E01003216,56.52,4.71,63.51,102.33,15.55
E01003217,47.09,3.92,52.91,85.26,12.96
E01003218,47.64,3.97,53.52,86.25,13.11
E01003219,49.42,4.12,55.53,89.48,13.6
E01003220,51.29,4.27,57.63,92.86,14.11
E01003221,62.12,5.17,69.8,112.48,17.09
E01003222,49.88,4.15,56.04,90.31,13.72
E01003223,48.58,4.05,54.59,87.97,13.37
E01003224,51.06,4.25,57.37,92.44,14.05
E01003225,46.05,3.84,51.75,83.39,12.67
E01003226,49.59,4.13,55.72,89.79,13.64
E01003227,49.16,4.09,55.24,89.01,13.53
E01003228,45.08,3.75,50.65,81.62,12.4
E01003229,48.18,4.01,54.14,87.24,13.26
E01003230,58.21,4.85,65.41,105.41,16.02
E01003231,45.82,3.82,51.49,82.97,12.61
E01003232,53.3,4.44,59.89,96.5,14.67
E01003233,51.32,4.27,57.66,92.91,14.12
E01003235,37.8,3.15,42.48,68.45,10.4
E01003236,48.61,4.05,54.62,88.02,13.38
E01003237,48.07,4.0,54.01,87.03,13.23
E01003238,39.76,3.31,44.67,71.99,10.94
E01003239,44.33,3.69,49.81,80.26,12.2
E01003240,54.88,4.57,61.66,99.37,15.1
E01003241,48.04,4.0,53.98,86.98,13.22
E01003243,43.93,3.66,49.36,79.54,12.09
E01003244,48.5,4.04,54.49,87.81,13.34
E01003245,53.5,4.46,60.11,96.87,14.72
E01003246,55.6,4.63,62.47,100.67,15.3
E01003247,65.89,5.49,74.04,119.3,18.13
E01003248,49.07,4.09,55.14,88.85,13.5
E01003249,60.54,5.04,68.03,109.62,16.66
E01003250,115.68,9.63,129.98,209.46,31.83
E01003251,63.94,5.32,71.84,115.76,17.59
E01003252,42.46,3.54,47.71,76.88,11.68
E01003253,44.24,3.68,49.71,80.11,12.17
E01003254,43.93,3.66,49.36,79.54,12.09
E01003255,63.1,5.26,70.9,114.25,17.36
E01003256,72.82,6.06,81.82,131.85,20.04
E01003257,48.61,4.05,54.62,88.02,13.38
E01003258,42.92,3.57,48.23,77.71,11.81
E01003259,53.21,4.43,59.79,96.35,14.64
E01003260,56.92,4.74,63.96,103.06,15.66
E01003261,43.06,3.59,48.39,77.97,11.85
E01003262,44.42,3.7,49.91,80.42,12.22
E01003263,51.6,4.3,57.98,93.43,14.2
E01003264,44.62,3.72,50.13,80.78,12.28
E01003265,46.37,3.86,52.1,83.96,12.76
E01003266,51.34,4.28,57.69,92.97,14.13
E01003267,44.1,3.67,49.55,79.85,12.13
E01003268,55.43,4.62,62.28,100.36,15.25
E01003269,47.72,3.97,53.62,86.41,13.13
E01003270,50.88,4.24,57.17,92.13,14.0
E01003271,48.53,4.04,54.53,87.86,13.35
E01003272,59.39,4.95,66.74,107.54,16.34
E01003273,57.12,4.76,64.18,103.43,15.72
E01003274,49.76,4.14,55.91,90.1,13.69
E01003275,47.69,3.97,53.59,86.35,13.12
E01003276,54.65,4.55,61.41,98.95,15.04
E01003277,50.65,4.22,56.92,91.72,13.94
E01003278,56.43,4.7,63.41,102.18,15.53
E01003279,47.89,3.99,53.81,86.72,13.18
E01003280,51.06,4.25,57.37,92.44,14.05
E01003281,45.02,3.75,50.58,81.51,12.39
E01003282,76.87,6.4,86.37,139.19,21.15
E01003283,63.91,5.32,71.81,115.71,17.58
E01003284,55.63,4.63,62.5,100.72,15.31
E01003285,58.62,4.88,65.86,106.13,16.13
E01003286,51.06,4.25,57.37,92.44,14.05
E01003287,60.11,5.01,67.54,108.84,16.54
E01003288,62.67,5.22,70.42,113.47,17.24
E01003290,49.07,4.09,55.14,88.85,13.5
E01003291,39.76,3.31,44.67,71.99,10.94
E01003292,46.0,3.83,51.68,83.28,12.66
E01003293,45.8,3.81,51.46,82.92,12.6
E01003295,55.91,4.66,62.83,101.24,15.38
E01003296,174.44,14.53,196.01,315.85,48.0
E01003297,47.41,3.95,53.27,85.83,13.04
E01003298,36.39,3.03,40.89,65.9,10.01
E01003299,48.81,4.07,54.85,88.38,13.43
E01003300,37.54,3.13,42.19,67.98,10.33
E01003301,69.17,5.76,77.72,125.24,19.03
E01003302,46.28,3.85,52.01,83.8,12.74
E01003303,44.79,3.73,50.33,81.1,12.32
E01003304,63.99,5.33,71.9,115.87,17.61
E01003305,56.58,4.71,63.57,102.44,15.57
E01003307,44.9,3.74,50.46,81.31,12.36
E01003308,55.74,4.64,62.63,100.93,15.34
E01003309,44.62,3.72,50.13,80.78,12.28
E01003310,49.53,4.13,55.66,89.69,13.63
E01003311,49.45,4.12,55.56,89.53,13.61
E01003312,50.45,4.2,56.69,91.35,13.88
E01003313,43.61,3.63,49.0,78.96,12.0
E01003314,52.55,4.38,59.05,95.15,14.46
E01003315,40.05,3.34,45.0,72.51,11.02
E01003316,43.78,3.65,49.2,79.28,12.05
E01003317,85.67,7.14,96.26,155.12,23.57
E01003318,57.96,4.83,65.12,104.94,15.95
E01003319,58.04,4.83,65.22,105.09,15.97
E01003320,39.38,3.28,44.25,71.31,10.84
E01003321,58.42,4.87,65.64,105.77,16.07
E01003322,44.42,3.7,49.91,80.42,12.22
E01003323,41.08,3.42,46.16,74.38,11.3
E01003324,52.81,4.4,59.34,95.62,14.53
E01003325,51.11,4.26,57.43,92.55,14.06
E01003326,45.31,3.77,50.91,82.03,12.47
E01003327,56.32,4.69,63.28,101.97,15.5
E01003328,50.77,4.23,57.04,91.92,13.97
E01003329,48.61,4.05,54.62,88.02,13.38
E01003330,49.22,4.1,55.3,89.11,13.54
E01003331,44.19,3.68,49.65,80.0,12.16
E01003332,46.31,3.86,52.04,83.86,12.74
E01003333,45.62,3.8,51.26,82.61,12.55
E01003334,55.17,4.59,61.99,99.89,15.18
