LSOA Code,tot_cases_spring_2021,tot_cases_summer_2021
E01000651,8.83,97.76
E01000652,8.41,93.06
E01000653,8.44,93.41
E01000654,6.51,72.04
E01000655,6.63,73.39
E01000656,7.86,87.02
E01000657,8.19,90.71
E01000658,6.41,70.99
E01000659,7.76,85.96
E01000661,14.5,160.58
E01000662,9.93,109.91
E01000663,8.84,97.82
E01000664,8.82,97.7
E01000665,10.09,111.68
E01000666,9.83,108.8
E01000667,8.47,93.83
E01000668,11.18,123.83
E01000669,8.91,98.7
E01000670,11.53,127.65
E01000671,12.41,137.39
E01000672,9.21,101.99
E01000673,8.52,94.3
E01000674,9.63,106.57
E01000675,13.08,144.79
E01000676,11.82,130.87
E01000677,10.41,115.2
E01000678,10.3,114.08
E01000679,9.41,104.22
E01000680,8.7,96.29
E01000681,9.61,106.39
E01000682,8.42,93.24
E01000683,8.59,95.06
E01000684,11.53,127.7
E01000685,8.3,91.89
E01000686,8.17,90.42
E01000687,8.66,95.82
E01000688,7.39,81.79
E01000689,7.75,85.78
E01000690,7.45,82.49
E01000691,8.7,96.29
E01000692,8.51,94.18
E01000693,8.78,97.23
E01000694,11.81,130.7
E01000695,8.69,96.17
E01000696,8.11,89.77
E01000697,9.32,103.22
E01000698,5.9,65.29
E01000699,8.4,92.95
E01000700,8.52,94.3
E01000701,7.49,82.91
E01000702,7.93,87.78
E01000703,9.32,103.16
E01000704,7.54,83.49
E01000705,7.29,80.67
E01000706,7.37,81.61
E01000707,8.29,91.83
E01000708,9.13,101.11
E01000709,7.37,81.55
E01000710,11.99,132.69
E01000711,11.05,122.36
E01000712,9.89,109.44
E01000713,9.96,110.32
E01000714,12.49,138.27
E01000715,9.37,103.69
E01000716,8.71,96.47
E01000717,9.32,103.16
E01000718,11.94,132.17
E01000719,11.39,126.12
E01000720,9.74,107.86
E01000721,8.26,91.42
E01000722,9.67,107.1
E01000723,6.32,69.93
E01000724,10.36,114.73
E01000725,9.68,107.15
E01000726,6.74,74.57
E01000727,9.03,99.99
E01000728,8.55,94.65
E01000729,10.95,121.25
E01000730,9.72,107.62
E01000731,7.97,88.19
E01000732,7.66,84.78
E01000733,8.87,98.17
E01000734,7.48,82.85
E01000735,8.19,90.66
E01000736,8.85,97.99
E01000737,7.29,80.67
E01000738,8.77,97.11
E01000739,8.96,99.17
E01000740,12.96,143.44
E01000741,10.08,111.56
E01000742,12.56,139.09
E01000743,10.33,114.32
E01000744,8.48,93.88
E01000745,11.09,122.83
E01000746,11.52,127.59
E01000747,10.9,120.66
E01000748,8.28,91.71
E01000749,8.91,98.7
E01000750,7.64,84.55
E01000751,11.61,128.58
E01000752,9.19,101.69
E01000753,10.1,111.79
E01000754,9.21,101.99
E01000755,8.13,90.01
E01000756,8.7,96.29
E01000757,8.29,91.83
E01000758,7.76,85.9
E01000759,8.37,92.71
E01000760,8.16,90.36
E01000761,8.23,91.07
E01000762,9.01,99.76
E01000763,7.55,83.61
E01000764,9.29,102.87
E01000765,9.61,106.45
E01000766,9.55,105.69
E01000767,8.29,91.77
E01000768,7.93,87.84
E01000769,7.66,84.84
E01000770,7.95,88.01
E01000771,9.59,106.16
E01000772,8.45,93.53
E01000773,8.6,95.18
E01000774,7.88,87.19
E01000775,12.42,137.51
E01000777,8.46,93.65
E01000778,8.54,94.53
E01000779,6.87,76.09
E01000780,8.35,92.48
E01000781,8.28,91.65
E01000782,8.54,94.59
E01000783,9.65,106.8
E01000784,8.61,95.35
E01000785,8.51,94.18
E01000786,7.83,86.72
E01000787,7.8,86.37
E01000788,8.24,91.24
E01000789,10.77,119.19
E01000790,13.22,146.38
E01000791,7.66,84.78
E01000792,7.85,86.9
E01000793,7.53,83.32
E01000794,8.26,91.42
E01000795,7.38,81.67
E01000796,8.8,97.47
E01000797,8.97,99.29
E01000798,8.26,91.42
E01000799,9.96,110.27
E01000800,9.9,109.56
E01000801,8.73,96.7
E01000802,9.54,105.57
E01000803,9.08,100.52
E01000804,8.25,91.3
E01000805,9.61,106.45
E01000806,10.54,116.67
E01000807,8.72,96.59
E01000808,8.43,93.3
E01000809,7.99,88.42
E01000810,7.99,88.42
E01000811,7.18,79.5
E01000812,8.35,92.48
E01000813,8.75,96.88
E01000814,7.51,83.2
E01000815,8.12,89.95
E01000816,8.12,89.89
E01000818,8.62,95.47
E01000819,9.28,102.75
E01000820,8.84,97.82
E01000822,9.23,102.16
E01000823,9.29,102.87
E01000824,7.25,80.26
E01000825,9.3,102.99
E01000826,8.46,93.65
E01000827,10.57,117.08
E01000828,9.46,104.75
E01000829,10.02,110.97
E01000830,8.18,90.6
E01000831,9.38,103.81
E01000832,7.75,85.84
E01000833,7.42,82.14
E01000834,7.07,78.33
E01000835,9.15,101.34
E01000836,7.45,82.49
E01000837,8.16,90.36
E01000838,7.63,84.49
E01000839,7.41,82.02
E01000840,7.77,86.02
E01000841,8.91,98.64
E01000842,10.79,126.22
E01000843,11.5,134.46
E01000844,12.53,146.56
E01000845,11.2,130.95
E01000846,9.99,116.83
E01000847,11.75,137.44
E01000848,12.71,148.65
E01000849,11.37,132.91
E01000850,13.97,163.38
E01000851,15.36,179.67
E01000852,12.43,145.34
E01000853,10.32,120.68
E01000854,12.2,142.71
E01000855,10.15,118.72
E01000856,11.38,133.11
E01000857,9.85,115.14
E01000858,12.62,147.64
E01000859,10.98,128.38
E01000860,8.73,102.1
E01000861,9.86,115.34
E01000862,11.52,134.67
E01000863,11.57,135.34
E01000864,11.18,130.75
E01000865,11.41,133.38
E01000866,16.88,197.37
E01000867,12.25,143.25
E01000868,11.31,132.23
E01000869,14.21,166.15
E01000870,11.2,130.95
E01000871,12.53,146.49
E01000872,13.48,157.64
E01000873,11.58,135.41
E01000874,11.58,135.41
E01000875,11.45,133.86
E01000876,13.5,157.91
E01000877,11.56,135.14
E01000878,15.58,182.17
E01000879,10.24,119.8
E01000880,12.05,140.88
E01000881,12.95,151.49
E01000882,12.01,140.41
E01000883,11.55,135.07
E01000884,11.22,131.22
E01000885,10.68,124.87
E01000886,10.4,121.63
E01000887,10.36,121.15
E01000888,10.89,127.3
E01000889,12.8,149.73
E01000890,10.34,120.95
E01000891,10.23,119.6
E01000892,13.92,162.78
E01000893,10.76,125.81
E01000894,10.12,118.31
E01000895,12.0,140.34
E01000896,12.23,142.98
E01000897,11.84,138.45
E01000898,13.74,160.68
E01000899,12.58,147.1
E01000900,12.28,143.59
E01000901,16.39,191.7
E01000902,9.91,115.95
E01000903,10.38,121.42
E01000904,16.22,189.67
E01000905,13.2,154.4
E01000906,10.16,118.86
E01000907,9.81,114.73
E01000908,11.5,134.46
E01000909,10.97,128.25
E01000910,10.34,120.95
E01000911,10.45,122.17
E01000912,11.15,130.41
E01000913,11.34,132.64
E01000914,14.51,169.73
E01000915,10.2,119.33
E01000916,15.24,178.25
E01000917,13.8,161.36
E01000918,14.56,170.28
E01000919,13.06,152.77
E01000920,13.8,161.42
E01000921,14.15,165.48
E01000922,11.98,140.07
E01000923,9.88,115.54
E01000924,11.98,140.07
E01000925,9.92,116.02
E01000926,12.13,141.83
E01000927,12.3,143.79
E01000928,12.21,142.77
E01000929,13.65,159.67
E01000930,14.38,168.11
E01000931,14.41,168.52
E01000932,12.24,143.11
E01000933,13.01,152.1
E01000934,10.9,127.44
E01000935,9.07,106.02
E01000936,12.07,141.15
E01000937,14.32,167.51
E01000938,12.56,146.9
E01000939,9.41,110.07
E01000940,9.4,109.94
E01000941,7.9,92.44
E01000942,14.59,170.61
E01000943,7.2,84.19
E01000944,13.2,154.33
E01000945,10.88,127.23
E01000946,13.51,158.05
E01000947,13.62,159.33
E01000948,11.86,138.72
E01000949,11.33,132.5
E01000950,7.58,88.65
E01000951,11.13,130.14
E01000952,11.19,130.88
E01000953,24.2,283.05
E01000954,11.5,134.46
E01000955,10.89,127.37
E01000956,12.38,144.8
E01000957,10.07,117.77
E01000958,22.83,267.04
E01000959,11.01,128.79
E01000960,13.47,157.57
E01000961,12.41,145.07
E01000962,11.6,135.61
E01000963,17.55,205.28
E01000964,11.29,132.03
E01000965,12.09,141.42
E01000966,10.84,126.76
E01000967,10.92,127.71
E01000968,10.73,125.48
E01000969,14.49,169.4
E01000970,11.17,130.61
E01000971,10.45,122.17
E01000972,14.64,171.15
E01000973,19.49,227.98
E01000974,12.39,144.87
E01000975,12.79,114.78
E01000976,12.42,111.54
E01000977,11.43,102.57
E01000978,11.05,99.16
E01000979,10.81,97.0
E01000980,7.66,68.74
E01000981,10.6,95.16
E01000982,9.79,87.87
E01000983,10.45,93.81
E01000984,11.92,107.05
E01000985,8.61,77.28
E01000986,10.34,92.84
E01000987,8.09,72.63
E01000989,10.2,91.54
E01000990,8.63,77.49
E01000991,9.99,89.71
E01000992,11.64,104.51
E01000993,10.33,92.73
E01000994,9.2,82.63
E01000995,10.32,92.62
E01000996,7.16,64.25
E01000997,8.4,75.39
E01000998,9.64,86.52
E01000999,7.96,71.49
E01001000,9.2,82.63
E01001001,8.0,71.82
E01001002,8.54,76.68
E01001003,10.02,89.92
E01001004,13.36,119.91
E01001005,10.23,91.81
E01001006,9.9,88.84
E01001007,12.18,109.38
E01001008,10.13,90.95
E01001009,12.15,109.11
E01001010,10.26,92.14
E01001011,14.24,127.8
E01001012,12.67,113.75
E01001013,13.0,116.67
E01001014,27.4,245.94
E01001015,8.98,80.57
E01001016,10.54,94.62
E01001017,9.53,85.55
E01001018,9.67,86.84
E01001019,8.95,80.3
E01001020,10.0,89.81
E01001021,8.42,75.55
E01001022,8.43,75.71
E01001023,12.27,110.19
E01001024,7.96,71.44
E01001025,7.52,67.5
E01001026,11.37,102.03
E01001027,13.81,123.97
E01001028,9.42,84.57
E01001029,9.9,88.9
E01001030,8.36,75.06
E01001031,8.69,77.98
E01001032,8.54,76.63
E01001033,10.43,93.65
E01001034,9.7,87.11
E01001035,11.62,104.3
E01001036,9.37,84.09
E01001037,8.98,80.63
E01001038,11.75,105.49
E01001039,9.23,82.84
E01001040,11.05,99.16
E01001041,11.55,103.7
E01001042,13.69,122.94
E01001043,24.22,217.4
E01001044,12.12,108.78
E01001045,23.83,213.94
E01001046,10.9,97.81
E01001047,11.41,102.41
E01001048,20.35,182.65
E01001049,9.03,81.06
E01001050,10.57,94.89
E01001051,9.68,86.9
E01001052,8.36,75.06
E01001053,9.2,82.57
E01001054,10.36,93.0
E01001055,9.24,82.95
E01001056,10.96,98.41
E01001057,11.85,106.4
E01001058,7.74,69.44
E01001059,8.69,77.98
E01001060,9.52,85.49
E01001061,9.23,82.9
E01001062,8.84,79.38
E01001063,9.18,82.41
E01001064,9.67,86.84
E01001065,8.43,75.71
E01001066,8.23,73.87
E01001067,9.86,88.52
E01001068,11.55,103.65
E01001069,8.14,73.06
E01001070,10.85,97.43
E01001071,11.58,103.97
E01001072,9.0,80.79
E01001073,9.14,82.03
E01001074,12.83,115.16
E01001075,10.2,91.54
E01001076,10.78,96.73
E01001077,7.88,70.74
E01001078,8.81,79.11
E01001079,10.49,94.14
E01001080,10.64,95.54
E01001081,8.88,79.71
